"LOINC"	"MAP_TO"	"COMMENT"
"1009-0"	"1007-4"	
"10165-9"	"11358-9"	
"10356-4"	"6469-1"	
"10440-6"	"10432-3"	
"1052-0"	"14983-1"	
"10532-0"	"6774-4"	
"10537-9"	"3582-4"	
"1053-8"	"14984-9"	
"10538-7"	"10339-0"	
"1054-6"	"14985-6"	
"10550-2"	"10343-2"	
"1055-3"	"14983-1"	
"10554-4"	"1713-7"	
"10556-9"	"1730-1"	
"10559-3"	"1999-2"	
"1056-1"	"14984-9"	
"10566-8"	"2105-5"	
"10575-9"	"2323-4"	
"1057-9"	"14985-6"	
"10584-1"	"2884-5"	
"10586-6"	"3160-9"	
"10595-7"	"9780-8"	
"10596-5"	"31630-7"	"Ordinal"
"10596-5"	"5360-3"	"Quantitative"
"10597-3"	"31631-5"	"Ordinal"
"10597-3"	"5361-1"	"Quantitative"
"10598-1"	"31631-5"	"Ordinal"
"10598-1"	"5362-9"	"Quantitative"
"10682-3"	"10351-5"	
"10771-4"	"6677-9"	
"10816-7"	"6678-7"	
"10820-9"	"6679-5"	
"10821-7"	"6682-9"	
"10830-8"	"10222-8"	
"10852-2"	"601-5"	
"10854-8"	"10662-5"	
"10890-2"	"10546-0"	
"10962-9"	"7681-0"	
"11036-1"	"2299-6"	
"11049-4"	"2451-3"	
"1109-8"	"1116-3"	
"1109-8"	"1121-3"	
"1109-8"	"1142-9"	
"1109-8"	"1147-8"	
"11123-7"	"11120-3"	
"11131-0"	"11104-7"	
"11132-8"	"1974-5"	
"11136-9"	"11116-1"	
"11137-7"	"11119-5"	
"11162-5"	"6080-6"	
"11205-2"	"6198-6"	
"11223-5"	"12317-4"	"Ordinal"
"11223-5"	"17437-5"	"MCnc/Qn"
"11239-1"	"11240-9"	"MCnc/Qn"
"11239-1"	"12324-0"	"Ordinal"
"11245-8"	"17390-6"	"MCnc/Qn"
"11245-8"	"29288-8"	"Ordinal"
"11292-0"	"8661-1"	
"11395-1"	"10196-4"	
"11396-9"	"10196-4"	
"11405-8"	"10200-4"	
"11408-2"	"10201-2"	
"11409-0"	"10201-2"	
"11426-4"	"8703-1"	
"11427-2"	"8703-1"	
"11436-3"	"8702-3"	
"11439-7"	"8704-9"	
"11440-5"	"8704-9"	
"11455-3"	"10187-3"	
"11456-1"	"8687-6"	
"11491-6"	"15507-7"	
"11501-6"	"15508-5"	
"11511-3"	"11506-3"	
"11542-8"	"11506-3"	
"11554-3"	"2601-3"	
"11563-4"	"5130-0"	
"11567-5"	"5128-4"	
"11574-1"	"8099-4"	
"11642-6"	"17978-8"	
"11644-2"	"18030-7"	
"11646-7"	"18037-2"	
"11648-3"	"18031-5"	
"11650-9"	"18038-0"	
"11652-5"	"18039-8"	
"11680-6"	"20232-5"	
"11682-2"	"20302-6"	
"11714-3"	"18164-4"	
"11716-8"	"18080-2"	
"1172-6"	"14986-4"	
"1173-4"	"14987-2"	
"1174-2"	"14988-0"	
"1175-9"	"14986-4"	
"1176-7"	"14987-2"	
"1177-5"	"14988-0"	
"1178-3"	"14989-8"	
"1179-1"	"14990-6"	
"11797-8"	"20272-1"	
"1180-9"	"14991-4"	
"1181-7"	"14989-8"	
"1182-5"	"14990-6"	
"1183-3"	"14991-4"	
"11955-2"	"8665-2"	
"12013-9"	"12012-1"	
"12015-4"	"12014-7"	
"12175-6"	"1759-0"	
"12213-5"	"2243-4"	
"12214-3"	"2243-4"	
"12216-8"	"2333-3"	
"12243-2"	"11125-2"	
"12249-9"	"2915-7"	
"12250-7"	"31111-8"	
"12252-3"	"2484-4"	
"12263-0"	"53611-0"	
"12264-8"	"53612-8"	
"12276-2"	"10851-4"	
"12279-6"	"5361-1"	
"12316-6"	"3783-8"	
"12373-7"	"9776-6"	
"12376-0"	"10992-6"	
"12385-1"	"3862-0"	
"12392-7"	"10989-2"	
"12393-5"	"10990-0"	
"12409-9"	"10892-8"	
"12447-9"	"29289-6"	"Ordinal"
"12447-9"	"29295-3"	"MCnc/Qn"
"12531-0"	"12183-0"	
"12571-6"	"12190-5"	
"1271-6"	"14992-2"	
"1272-4"	"14993-0"	
"1273-2"	"14994-8"	
"1274-0"	"14992-2"	
"1275-7"	"14993-0"	
"1276-5"	"14994-8"	
"12800-9"	"17504-2"	"Ordinal"
"12800-9"	"6930-2"	"MCnc/Qn"
"12950-2"	"12228-3"	
"12980-9"	"53612-8"	
"13017-9"	"11100-5"	
"13049-2"	"6012-9"	
"13051-8"	"5892-5"	
"13055-9"	"66483-9"	
"13065-8"	"5379-3"	
"13089-8"	"44736-7"	"Ordinal"
"13089-8"	"44737-5"	"ACnc/Qn"
"13090-6"	"31226-4"	"ACnc/Qn"
"13090-6"	"44738-3"	"Ordinal"
"13093-0"	"31502-8"	"ACnc/Qn"
"13093-0"	"44750-8"	"Ordinal"
"1309-4"	"1306-0"	
"13094-8"	"31498-9"	"ACnc/Qn"
"13094-8"	"44749-0"	"Ordinal"
"13095-5"	"31498-9"	"ACnc/Qn"
"13095-5"	"44749-0"	"Ordinal"
"13096-3"	"21411-4"	
"13096-3"	"31522-6"	
"13097-1"	"26975-3"	
"13097-1"	"31563-0"	
"13098-9"	"31669-5"	
"13098-9"	"31670-3"	
"13099-7"	"31671-1"	
"13099-7"	"44753-2"	
"13100-3"	"31665-3"	
"13100-3"	"31666-1"	
"13101-1"	"31663-8"	
"13101-1"	"31664-6"	
"13102-9"	"31345-2"	
"13102-9"	"31400-5"	
"13103-7"	"31346-0"	
"13103-7"	"43601-4"	
"13104-5"	"31347-8"	
"13104-5"	"43600-6"	
"13105-2"	"17579-4"	
"13105-2"	"31678-6"	
"13106-0"	"17578-6"	
"13106-0"	"31674-5"	
"13107-8"	"31344-5"	
"13107-8"	"44740-9"	
"13108-6"	"17578-6"	
"13108-6"	"31674-5"	
"13109-4"	"31345-2"	
"13109-4"	"31400-5"	
"13110-2"	"31258-7"	
"13110-2"	"44739-1"	
"13111-0"	"44751-6"	
"13111-0"	"44752-4"	
"13112-8"	"42254-3"	
"13112-8"	"9423-5"	
"13113-6"	"21411-4"	
"13113-6"	"31522-6"	
"13114-4"	"17342-7"	
"13114-4"	"31539-0"	
"13115-1"	"12854-6"	
"13115-1"	"33615-6"	
"13116-9"	"31584-6"	
"13116-9"	"31585-3"	
"13118-5"	"31520-0"	
"13118-5"	"31521-8"	
"13121-9"	"13636-6"	
"13121-9"	"31592-9"	
"13122-7"	"31671-1"	
"13122-7"	"44753-2"	
"13123-5"	"31661-2"	
"13123-5"	"31662-0"	
"13124-3"	"31661-2"	"Ordinal"
"13124-3"	"31662-0"	"ACnc/Qn"
"13125-0"	"9610-7"	
"13163-1"	"13135-9"	
"13165-6"	"13137-5"	
"13166-4"	"13138-3"	
"13191-2"	"11572-5"	
"13222-5"	"13218-3"	
"13223-3"	"13217-5"	
"13224-1"	"13219-1"	
"13239-9"	"7883-2"	
"13296-9"	"11590-7"	
"13350-4"	"12208-5"	
"13352-0"	"12238-2"	
"13353-8"	"12209-3"	
"13360-3"	"10569-2"	
"13445-2"	"12195-4"	
"13453-6"	"27353-2"	"if units are mg/dL"
"13453-6"	"53553-4"	"if units are mmol/L"
"13460-1"	"11054-4"	
"13491-6"	"13332-2"	
"13492-4"	"13343-9"	
"13493-2"	"13334-8"	
"13504-6"	"9586-9"	
"13520-2"	"12179-8"	
"13537-6"	"2885-2"	
"13541-8"	"11211-0"	
"13543-4"	"12242-4"	
"13598-8"	"783-1"	
"13617-6"	"12839-7"	
"13621-8"	"5955-0"	
"13628-3"	"6800-7"	
"13630-9"	"13170-6"	
"13642-4"	"29279-7"	
"13642-4"	"5647-3"	
"13647-3"	"12998-1"	
"13690-3"	"3124-5"	
"13849-5"	"13342-1"	
"13885-9"	"13738-0"	
"13899-0"	"12228-3"	
"13900-6"	"3074-2"	
"13906-3"	"12367-9"	
"13906-3"	"17256-9"	
"13939-4"	"13025-2"	
"14011-1"	"13064-1"	
"1405-0"	"1404-3"	
"14058-2"	"14031-9"	
"14059-0"	"14032-7"	
"14088-9"	"14087-1"	
"14091-3"	"14090-5"	
"14110-1"	"14017-8"	
"14111-9"	"14018-6"	
"14120-0"	"12841-3"	
"14134-1"	"4635-9"	
"14150-7"	"13962-6"	
"1420-9"	"1419-1"	
"14289-3"	"13960-0"	
"14320-6"	"630-4"	
"14342-0"	"9641-2"	
"14395-8"	"12265-5"	
"14400-6"	"12191-3"	
"14440-2"	"9618-0"	
"14476-6"	"11261-5"	
"14602-7"	"14601-9"	
"14659-7"	"13362-9"	
"14663-9"	"10569-2"	
"14786-8"	"10644-3"	
"14845-2"	"10976-9"	
"14880-9"	"13539-2"	
"14897-3"	"2885-2"	
"1502-4"	"1501-6"	
"15039-1"	"14685-2"	
"15056-5"	"15055-7"	
"1508-1"	"1507-3"	
"15098-7"	"56628-1"	
"15106-8"	"47109-4"	
"1511-5"	"1510-7"	
"15116-7"	"15115-9"	
"15129-0"	"48058-2"	
"15129-0"	"48067-3"	
"15153-0"	"1971-1"	
"1515-6"	"1514-9"	
"1519-8"	"1518-0"	
"15277-7"	"7753-7"	
"15282-7"	"6236-4"	
"1529-7"	"1528-9"	
"1531-3"	"1530-5"	
"15365-0"	"15364-3"	
"15365-0"	"29278-9"	
"15371-8"	"15370-0"	
"15371-8"	"29287-0"	
"15396-5"	"8039-0"	
"15406-2"	"15405-4"	
"15406-2"	"29286-2"	
"1545-3"	"1544-6"	
"15522-6"	"15521-8"	
"15522-6"	"15523-4"	
"15522-6"	"21060-9"	
"15531-7"	"15530-9"	
"15538-2"	"15537-4"	
"15578-8"	"15579-6"	
"15608-3"	"15609-1"	
"15610-9"	"15609-1"	
"15631-5"	"15629-9"	
"15639-8"	"15640-6"	
"15648-9"	"15597-8"	
"15695-0"	"15694-3"	
"15750-3"	"15749-5"	
"15804-8"	"15803-0"	
"15830-3"	"15653-9"	
"15865-9"	"15864-2"	
"15868-3"	"15869-1"	
"15883-2"	"15880-8"	
"15884-0"	"15875-8"	
"15887-3"	"15886-5"	
"15905-3"	"15592-9"	
"15919-4"	"15773-5"	
"15920-2"	"15774-3"	
"15965-7"	"15964-0"	
"15979-8"	"15975-6"	
"15999-6"	"15997-0"	
"16000-2"	"15749-5"	
"16004-4"	"16003-6"	
"16010-1"	"15812-1"	
"16055-6"	"16056-4"	
"16079-6"	"16078-8"	
"16081-2"	"16080-4"	
"16087-9"	"16086-1"	
"16097-8"	"16096-0"	
"16143-0"	"9497-9"	
"1616-2"	"1615-4"	
"16286-7"	"15432-8"	
"16287-5"	"31667-9"	
"16287-5"	"31668-7"	
"16288-3"	"31500-2"	
"16288-3"	"31501-0"	
"16289-1"	"31496-3"	
"16289-1"	"31497-1"	
"16321-2"	"1717-8"	
"16336-0"	"1780-6"	
"16354-3"	"12471-9"	
"16356-8"	"13364-5"	
"16357-6"	"13365-2"	
"16358-4"	"13382-7"	
"16359-2"	"3331-6"	
"16386-5"	"16100-0"	
"16424-4"	"12390-1"	
"16435-0"	"6279-4"	
"16436-8"	"7140-7"	
"16540-7"	"8171-1"	
"16573-8"	"2059-4"	
"16574-6"	"2060-2"	
"16602-5"	"16601-7"	
"16629-8"	"12185-5"	
"1669-1"	"1668-3"	
"1672-5"	"1671-7"	
"16731-2"	"2196-4"	
"16743-7"	"13572-3"	
"16744-5"	"3861-2"	
"16745-2"	"10546-0"	
"16752-8"	"27132-0"	
"16767-6"	"9806-1"	
"16782-5"	"12277-0"	
"16790-8"	"3582-4"	
"16869-0"	"12428-9"	
"16883-1"	"2319-2"	
"16884-9"	"2317-6"	
"16885-6"	"2318-4"	
"16886-4"	"13615-0"	
"17023-3"	"4656-5"	
"17077-9"	"16965-6"	
"17081-1"	"3048-6"	
"17145-4"	"13336-3"	
"17223-9"	"8111-7"	
"17245-2"	"13904-8"	
"17268-4"	"10543-7"	
"17271-8"	"13938-6"	
"17291-6"	"6281-0"	
"17297-3"	"5027-8"	
"17298-1"	"5027-8"	
"17345-0"	"5171-4"	
"17361-7"	"9475-5"	
"17423-5"	"7981-4"	
"17466-4"	"5975-8"	
"17594-3"	"14147-3"	
"17595-0"	"14146-5"	
"17612-3"	"13139-1"	
"17613-1"	"13140-9"	
"17615-6"	"13153-2"	
"17616-4"	"13154-0"	
"17620-6"	"13157-3"	
"17621-4"	"13158-1"	
"17623-0"	"13160-7"	
