code;term;term_abbrevation;description;is_preferred;is_axis;is_mainclass;relation;association_kind;association_type;association_type_reverse;crossmapping_csv_id;metadata_DDD-INFO
A;ALIMENTÄRES SYSTEM UND STOFFWECHSEL;;;1;1;0;;;;;;
A01;STOMATOLOGIKA;;;1;0;0;A;2;is part of;is parent of;;
A01A;STOMATOLOGIKA;;;1;0;0;A01;2;is part of;is parent of;;
A01AA;Mittel zur Kariesprophylaxe;;;1;0;0;A01A;2;is part of;is parent of;;
A01AA01;Natriumfluorid;;;1;0;0;A01AA;2;is part of;is parent of;;1,1 mg O 0.5 mg Fluorid
A01AA02;Natriummonofluorphosphat;;;1;0;0;A01AA;2;is part of;is parent of;;
A01AA03;Olaflur;;;1;0;0;A01AA;2;is part of;is parent of;;1,1 mg O
A01AA04;Zinn(II)-fluorid;;;1;0;0;A01AA;2;is part of;is parent of;;
A01AA05;Fluorsilan;;;1;0;0;A01AA;2;is part of;is parent of;;
A01AA30;Kombinationen;;;1;0;0;A01AA;2;is part of;is parent of;;
A01AA51;Natriumfluorid, Kombinationen;;;1;0;0;A01AA;2;is part of;is parent of;;
A01AB;Antiinfektiva und Antiseptika zur oralen Lokalbehandlung;;;1;0;0;A01A;2;is part of;is parent of;;
A01AB02;Wasserstoffperoxid;;;1;0;0;A01AB;2;is part of;is parent of;;60 mg O
A01AB03;Chlorhexidin;;;1;0;0;A01AB;2;is part of;is parent of;;30 mg O
A01AB04;Amphotericin B;;;1;0;0;A01AB;2;is part of;is parent of;;40 mg O
A01AB05;Polynoxylin;;;1;0;0;A01AB;2;is part of;is parent of;;0,18 g O
A01AB06;Domiphen;;;1;0;0;A01AB;2;is part of;is parent of;;3 mg O
A01AB07;Oxychinolin;;;1;0;0;A01AB;2;is part of;is parent of;;80 mg O
A01AB08;Neomycin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB09;Miconazol;;;1;0;0;A01AB;2;is part of;is parent of;;0,2 g O
A01AB10;Natamycin;;;1;0;0;A01AB;2;is part of;is parent of;;20 mg O
A01AB11;Verschiedene;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB12;Hexetidin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB13;Tetracyclin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB14;Benzoxoniumchlorid;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB15;Tibezoniumiodid;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB16;Mepartricin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB17;Metronidazol;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB18;Clotrimazol;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB19;Natriumperborat;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB21;Chlortetracyclin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB22;Doxycyclin;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB23;Minocyclin;;;1;0;0;A01AB;2;is part of;is parent of;;1 mg O
A01AB24;Thymol;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB26;Aluminiumchlorid;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB27;Ethacridinlactat;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB29;Eugenol;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB31;Natriumhypochlorit;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB32;Natriumpercarbonat;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB33;Nystatin;;;1;0;0;A01AB;2;is part of;is parent of;;500 000 IE O 
A01AB36;Aluminiumchlorat;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB37;Aluminiumsulfat;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB39;Andere Aluminium-haltige Verbindungen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB50;Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB53;Chlorhexidin, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB57;Oxychinolin, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB62;Hexetidin, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB75;Chlorphenol, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB76;Aluminiumchlorid, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB78;Sulfanilamid, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB84;Paraformaldehyd, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB85;Formaldehyd, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB88;Azulen, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AB90;Demeclocyclin, Kombinationen;;;1;0;0;A01AB;2;is part of;is parent of;;
A01AC;Corticosteroide zur oralen Lokalbehandlung;;;1;0;0;A01A;2;is part of;is parent of;;
A01AC01;Triamcinolon;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AC02;Dexamethason;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AC03;Hydrocortison;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AC04;Prednisolon;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AC05;Betamethason;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AC54;Prednisolon, Kombinationen;;;1;0;0;A01AC;2;is part of;is parent of;;
A01AD;Andere Mittel zur oralen Lokalbehandlung;;;1;0;0;A01A;2;is part of;is parent of;;
A01AD01;Epinephrin;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD02;Benzydamin;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD05;Acetylsalicylsäure;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD06;Adrenalon;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD07;Amlexanox;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD08;Becaplermin;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD11;Verschiedene;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD18;Cholinsalicylat;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD20;Carbenoxolon;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD22;Milchsäure;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD50;Andere Mittel zur oralen Lokalbehandlung, Kombinationen;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD65;Dexpanthenol, Kombinationen;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD69;Mineralsalz, Kombinationen;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD71;Salicylate, Kombinationen;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AD72;Speichelersatzlösungen;;;1;0;0;A01AD;2;is part of;is parent of;;
A01AE;Lokalanästhetika für die orale Lokalbehandlung;;;1;0;0;A01A;2;is part of;is parent of;;
A01AE01;Lidocain;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE02;Tetracain;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE05;Polidocanol (Lauromacrogol 400);;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE51;Lidocain, Kombinationen;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE52;Tetracain, Kombinationen;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE53;Benzocain, Kombinationen;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE54;Propipocain, Kombinationen;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AE55;Polidocanol (Lauromacrogol 400), Kombinationen;;;1;0;0;A01AE;2;is part of;is parent of;;
A01AH;Homöopathische und anthroposophische Stomatologika;;;1;0;0;A01A;2;is part of;is parent of;;
A01AH20;Kombinationen;;;1;0;0;A01AH;2;is part of;is parent of;;
A01AP;Pflanzliche Stomatologika;;;1;0;0;A01A;2;is part of;is parent of;;
A01AP01;Myrrhentinktur;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP02;Kamillenblüten;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP03;Salbeiblätter;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP10;Verschiedene;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP30;Kombinationen;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP50;Andere pflanzliche Stomatologika, Kombinationen;;;1;0;0;A01AP;2;is part of;is parent of;;
A01AP52;Kamillenblüten, Kombinationen;;;1;0;0;A01AP;2;is part of;is parent of;;
A02;MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN;;;1;0;0;A;2;is part of;is parent of;;
A02A;ANTACIDA;;;1;0;0;A02;2;is part of;is parent of;;
A02AA;Magnesium-haltige Verbindungen;;;1;0;0;A02A;2;is part of;is parent of;;
A02AA01;Magnesiumcarbonat;;;1;0;0;A02AA;2;is part of;is parent of;;
A02AA02;Magnesiumoxid;;;1;0;0;A02AA;2;is part of;is parent of;;
A02AA03;Magnesiumperoxid;;;1;0;0;A02AA;2;is part of;is parent of;;
A02AA04;Magnesiumhydroxid;;;1;0;0;A02AA;2;is part of;is parent of;;3 g O
A02AA05;Magnesiumsilikat;;;1;0;0;A02AA;2;is part of;is parent of;;
A02AA10;Kombinationen;;;1;0;0;A02AA;2;is part of;is parent of;;
A02AB;Aluminium-haltige Verbindungen;;;1;0;0;A02A;2;is part of;is parent of;;
A02AB01;Aluminiumhydroxid;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB02;Algeldrat;;;1;0;0;A02AB;2;is part of;is parent of;;5 g O
A02AB03;Aluminiumphosphat;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB04;Dihydroxyaluminiumnatriumcarbonat (Carbaldrat);;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB05;Aluminiumacetoacetat;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB06;Aloglutamol;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB07;Aluminiumglycinat;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AB10;Kombinationen;;;1;0;0;A02AB;2;is part of;is parent of;;
A02AC;Calcium-haltige Verbindungen;;;1;0;0;A02A;2;is part of;is parent of;;
A02AC01;Calciumcarbonat;;;1;0;0;A02AC;2;is part of;is parent of;;
A02AC02;Calciumsilikat;;;1;0;0;A02AC;2;is part of;is parent of;;6 g O
A02AC10;Kombinationen;;;1;0;0;A02AC;2;is part of;is parent of;;
A02AD;Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen;;;1;0;0;A02A;2;is part of;is parent of;;
A02AD01;Einfache Salzkombinationen;;;1;0;0;A02AD;2;is part of;is parent of;;
A02AD02;Magaldrat;;;1;0;0;A02AD;2;is part of;is parent of;;3,2 g O 
A02AD03;Almagat;;;1;0;0;A02AD;2;is part of;is parent of;;
A02AD04;Hydrotalcit;;;1;0;0;A02AD;2;is part of;is parent of;;3,5 g O 
A02AD05;Almasilat;;;1;0;0;A02AD;2;is part of;is parent of;;4 g O 
A02AD06;Simaldrat;;;1;0;0;A02AD;2;is part of;is parent of;;5 g O 
A02AD10;Aluminiumoxid in Kombination mit Magnesiumhydroxid;;;1;0;0;A02AD;2;is part of;is parent of;;
A02AF;Antacida mit Karminativa;;;1;0;0;A02A;2;is part of;is parent of;;
A02AF01;Magaldrat und Karminativa;;;1;0;0;A02AF;2;is part of;is parent of;;
A02AF02;Einfache Salzkombinationen und Karminativa;;;1;0;0;A02AF;2;is part of;is parent of;;
A02AF03;Dihydroxyaluminiumnatriumcarbonat und Karminativa;;;1;0;0;A02AF;2;is part of;is parent of;;
A02AF04;Simaldrat und Karminativa;;;1;0;0;A02AF;2;is part of;is parent of;;
A02AF05;Aluminiumhydroxid und Karminativa;;;1;0;0;A02AF;2;is part of;is parent of;;
A02AG;Antacida mit Spasmolytika;;;1;0;0;A02A;2;is part of;is parent of;;
A02AG01;Antacida, Kombinationen mit Butinolin;;;1;0;0;A02AG;2;is part of;is parent of;;
A02AG02;Antacida, Kombinationen mit Atropin;;;1;0;0;A02AG;2;is part of;is parent of;;
A02AG20;Antacida, Kombinationen mit mehreren Spasmolytika;;;1;0;0;A02AG;2;is part of;is parent of;;
A02AH;Antacida mit Natriumbicarbonat;;;1;0;0;A02A;2;is part of;is parent of;;
A02AH01;Natriumhydrogencarbonat;;;1;0;0;A02AH;2;is part of;is parent of;;
A02AH20;Kombinationen;;;1;0;0;A02AH;2;is part of;is parent of;;
A02AX;Antacida, andere Kombinationen;;;1;0;0;A02A;2;is part of;is parent of;;
A02AX01;Antacida, Kombinationen mit Bismutsalzen;;;1;0;0;A02AX;2;is part of;is parent of;;
A02AX02;Antacida, Kombinationen mit Lokalanästhetika;;;1;0;0;A02AX;2;is part of;is parent of;;
A02AX04;Antacida, Kombinationen mit Schwefel;;;1;0;0;A02AX;2;is part of;is parent of;;
A02AX50;Antacida, andere Kombinationen;;;1;0;0;A02AX;2;is part of;is parent of;;
A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;1;0;0;A02;2;is part of;is parent of;;
A02BA;Histamin-H2-Rezeptorantagonisten;;;1;0;0;A02B;2;is part of;is parent of;;
A02BA01;Cimetidin;;;1;0;0;A02BA;2;is part of;is parent of;;0,8 g O,P
A02BA02;Ranitidin;;;1;0;0;A02BA;2;is part of;is parent of;;0,3 g O,P
A02BA03;Famotidin;;;1;0;0;A02BA;2;is part of;is parent of;;40 mg O,P
A02BA04;Nizatidin;;;1;0;0;A02BA;2;is part of;is parent of;;0,3 g O,P
A02BA05;Niperotidin;;;1;0;0;A02BA;2;is part of;is parent of;;
A02BA06;Roxatidin;;;1;0;0;A02BA;2;is part of;is parent of;;0,15 g O
A02BA07;Ranitidinbismutcitrat;;;1;0;0;A02BA;2;is part of;is parent of;;0,8 g O
A02BA08;Lafutidin;;;1;0;0;A02BA;2;is part of;is parent of;;20 mg O
A02BA51;Cimetidin, Kombinationen;;;1;0;0;A02BA;2;is part of;is parent of;;
A02BA53;Famotidin, Kombinationen;;;1;0;0;A02BA;2;is part of;is parent of;;
A02BB;Prostaglandine;;;1;0;0;A02B;2;is part of;is parent of;;
A02BB01;Misoprostol;;;1;0;0;A02BB;2;is part of;is parent of;;0,8 mg O
A02BB02;Enprostil;;;1;0;0;A02BB;2;is part of;is parent of;;70 mcg O
A02BC;Protonenpumpenhemmer;;;1;0;0;A02B;2;is part of;is parent of;;
A02BC01;Omeprazol;;;1;0;0;A02BC;2;is part of;is parent of;;20 mg O,P
A02BC02;Pantoprazol;;;1;0;0;A02BC;2;is part of;is parent of;;20 mg O,P 
A02BC03;Lansoprazol;;;1;0;0;A02BC;2;is part of;is parent of;;15 mg O 
A02BC04;Rabeprazol;;;1;0;0;A02BC;2;is part of;is parent of;;10 mg O,P 
A02BC05;Esomeprazol;;;1;0;0;A02BC;2;is part of;is parent of;;20 mg O,P 
A02BC06;Dexlansoprazol;;;1;0;0;A02BC;2;is part of;is parent of;;30 mg O
A02BD;Kombinationen zur Eradikation von Helicobacter pylori;;;1;0;0;A02B;2;is part of;is parent of;;
A02BD01;Omeprazol, Amoxicillin und Metronidazol;;;1;0;0;A02BD;2;is part of;is parent of;;
A02BD02;Lansoprazol, Tetracyclin und Metronidazol;;;1;0;0;A02BD;2;is part of;is parent of;;
A02BD03;Lansoprazol, Amoxicillin und Metronidazol;;;1;0;0;A02BD;2;is part of;is parent of;;
A02BD04;Pantoprazol, Amoxicillin und Clarithromycin;;;1;0;0;A02BD;2;is part of;is parent of;;Kombinationspackung: 6 DE O 
A02BD05;Omeprazol, Amoxicillin und Clarithromycin;;;1;0;0;A02BD;2;is part of;is parent of;;Kombinationspackung: 6 DE O 
A02BD06;Esomeprazol, Amoxicillin und Clarithromycin;;;1;0;0;A02BD;2;is part of;is parent of;;
A02BD07;Lansoprazol, Amoxicillin und Clarithromycin;;;1;0;0;A02BD;2;is part of;is parent of;;
A02BD08;Bismutsubcitrat, Tetracyclin und Metronidazol;;;1;0;0;A02BD;2;is part of;is parent of;;12 Applikationsformen O 
A02BX;Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit;;;1;0;0;A02B;2;is part of;is parent of;;
A02BX01;Carbenoxolon;;;1;0;0;A02BX;2;is part of;is parent of;;0,15 g O
A02BX02;Sucralfat;;;1;0;0;A02BX;2;is part of;is parent of;;4 g O
A02BX03;Pirenzepin;;;1;0;0;A02BX;2;is part of;is parent of;;0,1 g O; 20 mg P
A02BX04;Methiosulfoniumchlorid;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX05;Bismutsubcitrat;;;1;0;0;A02BX;2;is part of;is parent of;;0,48 g O
A02BX06;Proglumid;;;1;0;0;A02BX;2;is part of;is parent of;;1,2 g O
A02BX07;Gefarnat;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX08;Sulglicotid;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX09;Acetoxolon;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX10;Zolimidin;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX11;Troxipid;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX12;Bismutsubnitrat;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX13;Alginsäure;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX15;Silbereiweiß-Acetyltannat;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX17;Bismut(III)-citrat-hydroxid-Komplex;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX18;Dibismut-tris(tetraoxodialuminat);;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX22;Bismutsubsalicylat;;;1;0;0;A02BX;2;is part of;is parent of;;
