code;term;term_abbrevation;description;is_preferred;is_axis;is_mainclass;relation;association_kind;association_type;association_type_reverse;crossmapping_csv_id;translation_en;metadata_code
T;technique;;;1;1;0;;;;;;;T
T-0;nicht näher spezifiziert;;;1;0;0;T;2;is part of;is parent of;;unspecified;0
T-1;Röntgen;;;1;0;0;T;2;is part of;is parent of;;x-ray;1
T-10;nicht näher spezifiziert;;;1;0;0;T-1;2;is part of;is parent of;;unspecified;10
T-11;Projektionsradiographie;;;1;0;0;T-1;2;is part of;is parent of;;plain radiography;11
T-110;nicht näher spezifiziert;;;1;0;0;T-11;2;is part of;is parent of;;unspecified;110
T-111;digital;;;1;0;0;T-11;2;is part of;is parent of;;digital;111
T-1110;nicht näher spezifiziert;;;1;0;0;T-111;2;is part of;is parent of;;unspecified;1110
T-1111;Übersichtsaufnahme;;;1;0;0;T-111;2;is part of;is parent of;;overview image;1111
T-1112;Tomographie;;;1;0;0;T-111;2;is part of;is parent of;;tomography;1112
T-1113;Hartstrahl;;;1;0;0;T-111;2;is part of;is parent of;;high beam energy;1113
T-1114;Weichstrahl;;;1;0;0;T-111;2;is part of;is parent of;;low beam energy;1114
T-1115;Fernaufnahme;;;1;0;0;T-111;2;is part of;is parent of;;far view projection;1115
T-1116;Originalgröße;;;1;0;0;T-111;2;is part of;is parent of;;1:1 projection;1116
T-1117;Vergrößerung;;;1;0;0;T-111;2;is part of;is parent of;;magnification;1117
T-1118;Dual Energy;;;1;0;0;T-111;2;is part of;is parent of;;dual energy;1118
T-1119;Zahnfilm;;;1;0;0;T-111;2;is part of;is parent of;;intraoral periapical;1119
T-111a;Bißflügelaufnahme;;;1;0;0;T-111;2;is part of;is parent of;;intraoral bitewing;111a
T-111b;Aufbißaufnahme;;;1;0;0;T-111;2;is part of;is parent of;;occlusal;111b
T-111c;Orthopantomographie;;;1;0;0;T-111;2;is part of;is parent of;;panoramic;111c
T-111d;Engwinkelradiographie;;;1;0;0;T-111;2;is part of;is parent of;;narrow beam radiography;111d
T-111e;Kinderfilter;;;1;0;0;T-111;2;is part of;is parent of;;child filter;111e
T-111f;42 Mikrometer;;;1;0;0;T-111;2;is part of;is parent of;;42 microns;111f
T-111g;43,5 Mikrometer;;;1;0;0;T-111;2;is part of;is parent of;;43.5 microns;111g
T-111h;50 Mikrometer;;;1;0;0;T-111;2;is part of;is parent of;;50 microns;111h
T-111i;100 Mikrometer;;;1;0;0;T-111;2;is part of;is parent of;;100 microns;111i
T-111j;200 Mikrometer;;;1;0;0;T-111;2;is part of;is parent of;;200 microns;111j
T-112;analog;;;1;0;0;T-11;2;is part of;is parent of;;analog;112
T-1120;nicht näher spezifiziert;;;1;0;0;T-112;2;is part of;is parent of;;unspecified;1120
T-1121;Übersichtsaufnahme;;;1;0;0;T-112;2;is part of;is parent of;;overview image;1121
T-1122;Tomographie;;;1;0;0;T-112;2;is part of;is parent of;;tomography;1122
T-1123;Hartstrahl;;;1;0;0;T-112;2;is part of;is parent of;;high beam energy;1123
T-1124;Weichstrahl;;;1;0;0;T-112;2;is part of;is parent of;;low beam energy;1124
T-1125;Fernaufnahme;;;1;0;0;T-112;2;is part of;is parent of;;far view projection;1125
T-1126;Originalgröße;;;1;0;0;T-112;2;is part of;is parent of;;1:1 projection;1126
T-1127;Vergrößerung;;;1;0;0;T-112;2;is part of;is parent of;;magnification;1127
T-1128;Zahnfilm;;;1;0;0;T-112;2;is part of;is parent of;;intraoral periapical;1128
T-1129;Bißflügelaufnahme;;;1;0;0;T-112;2;is part of;is parent of;;intraoral bitewing;1129
T-112a;Aufbißaufnahme;;;1;0;0;T-112;2;is part of;is parent of;;occlusal;112a
T-112b;Orthopnatomographie;;;1;0;0;T-112;2;is part of;is parent of;;panoramic;112b
T-112c;Engwinkelradiographie;;;1;0;0;T-112;2;is part of;is parent of;;narrow beam radiography;112c
T-112d;Kinderfilter;;;1;0;0;T-112;2;is part of;is parent of;;child filter;112d
T-112e;42 Mikrometer;;;1;0;0;T-112;2;is part of;is parent of;;42 microns;112e
